	Record_num	Operator_id	ALM_COOL_PUMP_RUN_COL_RET_VALVE_CLS	ALM_COOL_PUMP_WORK_HRS_MAX	ALM_INLET_FLOW_HIGH	ALM_INLET_FLOW_LOW	ALM_INLET_PRESSURE_MIN	ALM_P1_FILTER_CLOGGED	ALM_P1_WORK_HRS_MAX	ALM_P2_FILTER_CLOGGED	ALM_P2_WORK_HRS_MAX	ALM_P3_FILTER_CLOGGED	ALM_P3_WORK_HRS_MAX	ALM_RP_FILTER_CLOGGED	ALM_RP_WORK_HRS_MAX	ALM_TANK_LEVEL_HIGH	ALM_TANK_LEVEL_LOW	ALM_TANK_TEMP_MAX	ALM_TANK_TEMP_MIN	STAT_COOL_PUMP_RUN	STAT_COOL_RET_VALVE_OPEN	STAT_DISCHG_VALVE_OPEN	STAT_HEATER_RUN	STAT_INLET_VALVE_OPEN	STAT_P1_RUN	STAT_P2_RUN	STAT_P3_RUN	STAT_RP_RUN	STAT_COOL_PUMP_WORK_HRS	STAT_FLOW_IN	STAT_P1_WORK_HRS	STAT_P2_WORK_HRS	STAT_P3_WORK_HRS	STAT_RP_WORK_HRS	STAT_OUTSIDE_TEMP	STAT_P1_FILTER_CLOG	STAT_P2_FILTER_CLOG	STAT_P3_FILTER_CLOG	STAT_PRESSURE_IN	STAT_RP_FILTER_CLOG	STAT_TANK_LEVEL	STAT_TANK_TEMP	CMD_COOL_PUMP_START	CMD_COOL_PUMP_STOP	CMD_COOL_PUMP_WORK_HRS_RESET	CMD_COOL_RET_VALVE_CLOSE	CMD_COOL_RET_VALVE_OPEN	CMD_DISCHG_VALVE_CLOSE	CMD_DISCHG_VALVE_OPEN	CMD_HEATER_START	CMD_HEATER_STOP	CMD_INLET_VALVE_CLOSE	CMD_INLET_VALVE_OPEN	CMD_P1_FILTER_CLEAN	CMD_P1_START	CMD_P1_STOP	CMD_P1_WORK_HRS_RESET	CMD_P2_FILTER_CLEAN	CMD_P2_START	CMD_P2_STOP	CMD_P2_WORK_HRS_RESET	CMD_P3_FILTER_CLEAN	CMD_P3_START	CMD_P3_STOP	CMD_P3_WORK_HRS_RESET	CMD_RP_FILTER_CLEAN	CMD_RP_START	CMD_RP_STOP	CMD_RP_WORK_HRS_RESET	SET_COOL_PUMP_POWER	SET_HEAT_EXCHG_VALVE_OPEN	SET_P1_POWER	SET_P2_POWER	SET_P3_POWER	SET_RP_POWER
153969	11080	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	49360	75	64270	10410	60280	51080	36.10002	82.96034	100.0686	46.79138	5.512414	11.30001	14.5	29.4971	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
153986	11081	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	49360	75	64400	10410	60410	51210	34.80004	77.76032	100.0686	41.59136	6.032416	12.60001	40.5	30.79711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	50
154003	11082	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	49360	75	64630	10410	60640	51210	32.50008	80.06029	100.0686	43.89132	5.80242	12.60001	86.5	33.0971	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154020	11083	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49360	75	64640	10410	60650	51210	32.40008	80.16029	100.0686	43.99132	5.792419	12.60001	86.0	33.1971	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154037	11084	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49360	75	64650	10410	60660	51210	32.30008	80.26028	100.0686	44.09132	5.78242	12.60001	85.5	33.2971	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154054	11085	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49360	75	64830	10410	60840	51210	30.50008	82.06026	100.0686	45.89129	5.602423	12.60001	76.5	35.09707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
154071	11086	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	49360	75	64830	10410	60840	51210	30.50008	82.06026	100.0686	45.89129	5.602423	12.60001	76.5	35.09707	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
154088	11087	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	49360	75	64830	10410	60840	51210	30.50008	82.06026	100.0686	45.89129	5.602423	12.60001	76.5	35.09707	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
154105	11088	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	49420	75	64890	10410	60900	51210	29.90008	82.66025	100.0686	46.49128	5.542423	12.60001	73.5	29.09707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
154122	11089	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	49420	75	64890	10410	60900	51210	29.90008	82.66025	100.0686	46.49128	5.542423	12.60001	73.5	29.09707	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
