	Record_num	Operator_id	ALM_COOL_PUMP_RUN_COL_RET_VALVE_CLS	ALM_COOL_PUMP_WORK_HRS_MAX	ALM_INLET_FLOW_HIGH	ALM_INLET_FLOW_LOW	ALM_INLET_PRESSURE_MIN	ALM_P1_FILTER_CLOGGED	ALM_P1_WORK_HRS_MAX	ALM_P2_FILTER_CLOGGED	ALM_P2_WORK_HRS_MAX	ALM_P3_FILTER_CLOGGED	ALM_P3_WORK_HRS_MAX	ALM_RP_FILTER_CLOGGED	ALM_RP_WORK_HRS_MAX	ALM_TANK_LEVEL_HIGH	ALM_TANK_LEVEL_LOW	ALM_TANK_TEMP_MAX	ALM_TANK_TEMP_MIN	STAT_COOL_PUMP_RUN	STAT_COOL_RET_VALVE_OPEN	STAT_DISCHG_VALVE_OPEN	STAT_HEATER_RUN	STAT_INLET_VALVE_OPEN	STAT_P1_RUN	STAT_P2_RUN	STAT_P3_RUN	STAT_RP_RUN	STAT_COOL_PUMP_WORK_HRS	STAT_FLOW_IN	STAT_P1_WORK_HRS	STAT_P2_WORK_HRS	STAT_P3_WORK_HRS	STAT_RP_WORK_HRS	STAT_OUTSIDE_TEMP	STAT_P1_FILTER_CLOG	STAT_P2_FILTER_CLOG	STAT_P3_FILTER_CLOG	STAT_PRESSURE_IN	STAT_RP_FILTER_CLOG	STAT_TANK_LEVEL	STAT_TANK_TEMP	CMD_COOL_PUMP_START	CMD_COOL_PUMP_STOP	CMD_COOL_PUMP_WORK_HRS_RESET	CMD_COOL_RET_VALVE_CLOSE	CMD_COOL_RET_VALVE_OPEN	CMD_DISCHG_VALVE_CLOSE	CMD_DISCHG_VALVE_OPEN	CMD_HEATER_START	CMD_HEATER_STOP	CMD_INLET_VALVE_CLOSE	CMD_INLET_VALVE_OPEN	CMD_P1_FILTER_CLEAN	CMD_P1_START	CMD_P1_STOP	CMD_P1_WORK_HRS_RESET	CMD_P2_FILTER_CLEAN	CMD_P2_START	CMD_P2_STOP	CMD_P2_WORK_HRS_RESET	CMD_P3_FILTER_CLEAN	CMD_P3_START	CMD_P3_STOP	CMD_P3_WORK_HRS_RESET	CMD_RP_FILTER_CLEAN	CMD_RP_START	CMD_RP_STOP	CMD_RP_WORK_HRS_RESET	SET_COOL_PUMP_POWER	SET_HEAT_EXCHG_VALVE_OPEN	SET_P1_POWER	SET_P2_POWER	SET_P3_POWER	SET_RP_POWER
0	4176	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6	0.0	0.0	0.0	0.0	0.0	80.0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
17	4447	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	480	76	13620	13610	0	1470	11.40001	65.99828	65.89828	0.0	5.405171	16.80003	50.5	29.09954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
34	4718	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1020	76	24960	24950	0	3780	37.2	68.09617	67.99617	0.0	5.195383	44.0999	77.5	16.49906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	79	72	0	0
51	4765	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1560	76	36210	36200	0	5880	36.60001	60.8939	60.7939	0.0	5.91561	75.29942	53.5	29.09861	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
78	5305	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2100	76	47760	47750	0	8190	18.00003	64.49197	64.39197	0.0	5.555803	99.99905	50.5	29.09814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	50
95	5447	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2520	75	56810	59940	3240	10000	32.40008	81.89009	99.99142	45.69827	5.620582	21.10004	86.5	23.09766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
120	5962	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2940	75	69890	59940	16320	12310	2.999998	85.78987	99.99142	49.59805	5.230604	23.20005	14.5	30.89766	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
128	4177	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3120	75	71430	59940	17860	12730	43.19991	83.98573	99.99142	47.79391	5.411017	77.79939	38.5	30.69719	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
145	4448	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	3660	75	82730	59940	29160	14830	30.60008	82.38359	100.0914	46.19177	5.571232	6.299996	26.5	20.99668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
162	4719	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4150	75	93900	59940	40330	17140	21.50004	82.98166	100.0914	46.78984	5.511425	31.50008	23.5	35.09626	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
179	4766	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	4620	75	6860	59940	52560	19660	44.89989	77.77934	100.0914	41.58752	6.031657	62.99961	72.0	35.09579	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
196	5036	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5040	75	18650	59940	64350	21870	16.20002	85.77729	100.0914	49.58547	5.231862	88.19923	32.0	26.59535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
213	5306	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	5520	75	30800	59940	76500	24390	49.89981	77.87636	100.1914	41.68454	6.021955	2.1	86.5	33.99488	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
230	5448	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	6000	75	42080	59940	87780	26700	14.30002	86.17431	100.1914	49.98249	5.19216	27.30007	45.0	21.29467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
247	5717	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	6540	75	53350	59940	40	28800	30.00008	85.47224	100.1914	49.28042	5.262367	54.59974	86.0	30.09423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
255	4178	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6960	75	63020	59940	9710	30810	0.7	82.97003	100.1914	46.77821	5.512588	83.99929	83.5	19.39376	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
272	4449	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7440	75	74120	59940	20810	33120	49.79981	0.1	0.0	0.0	5.995	0.0	80.0	12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
289	4720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	7980	75	85660	59940	32350	35430	9.9	65.99828	65.89828	0.0	5.405171	16.80003	50.5	29.09954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
306	4767	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8400	75	98150	59940	44840	37840	37.2	62.09615	61.99615	0.0	5.795385	45.59988	70.0	14.99905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	72	0	78	50
323	5037	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	40	10	0	0	0	33.00007	60.8939	60.7939	0.0	5.91561	75.29942	53.5	29.09861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
340	5307	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	540	76	13680	13670	0	1470	18.10003	68.09191	67.99191	0.0	5.195809	99.99905	32.5	32.69815	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
357	5449	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1020	76	24960	24950	0	3780	32.80007	81.99009	99.99142	45.79827	5.610582	21.10004	86.0	23.19766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	80	78	0
383	4179	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1560	76	36300	36290	0	5970	39.49997	86.18987	99.99142	49.99805	5.190604	23.20005	22.5	31.29766	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	79	72	0	0
400	4450	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2100	76	47970	47960	0	8400	5.199996	77.78791	99.99142	41.59609	6.0308	50.4998	64.5	32.79718	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
417	4721	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2520	75	57140	59940	3570	10000	43.19991	86.1857	99.99142	49.99388	5.191021	77.79939	82.5	18.79667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	100	79	72	0	0
434	4768	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	75	69950	59940	16380	12310	30.00008	82.38359	100.0914	46.19177	5.571232	6.299996	26.5	35.09626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	50
451	5038	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	3120	75	71870	59940	18300	12730	29.90008	83.58165	100.0914	47.38983	5.451426	31.50008	20.5	29.09579	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100	79	72	0	50
468	5308	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3660	75	82770	59940	29200	14830	44.49989	86.17921	100.0914	49.98739	5.19167	62.99961	30.0	34.99533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
485	5450	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	4160	75	93910	59940	40340	17140	16.20002	86.17728	100.0914	49.98547	5.191863	88.19923	30.0	34.39487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	72	0	78	0
502	5718	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	4620	75	7220	59940	52920	19660	49.79981	77.87636	100.1914	41.68454	6.021955	2.1	86.5	21.29467	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
510	4180	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5040	75	18700	59940	64400	21870	14.20002	85.77431	100.1914	49.58249	5.23216	27.40007	44.5	29.09423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	0
527	4451	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	5520	75	30800	59940	76500	24390	0.8000001	85.57224	100.1914	49.38042	5.252367	54.59974	85.5	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100	72	0	78	50
544	4722	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	6000	75	42080	59940	87780	26700	47.69984	0.2	0.1	0.0	11.985	0.0	79.5	31.19955	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
561	4769	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6540	75	53420	59940	110	28870	9.599998	68.09825	67.99825	0.0	5.195175	16.80003	40.0	20.99905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
578	5039	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	6960	75	63030	59940	9720	30810	37.2	60.89614	60.79614	0.0	5.915386	45.89987	68.5	29.09861	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
595	5309	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7440	75	74120	59940	20810	33120	33.00007	60.8939	60.7939	0.0	5.91561	75.29942	53.5	32.69815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
612	5451	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7980	75	86060	59940	32750	35430	18.20003	68.09191	67.99191	0.0	5.195809	99.99905	32.5	23.29766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	0
638	4181	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	8400	75	98180	59940	44870	37870	34.90004	82.09009	99.99142	45.89827	5.600582	21.10004	85.5	33.39764	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
655	4452	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	84	20	10	0	0	38.39999	77.78983	99.99142	41.59801	6.030608	25.30006	64.5	33.89717	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
672	4723	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	540	76	13680	13670	0	1470	5.399995	78.88789	99.99142	42.69608	5.920802	50.4998	86.5	18.59667	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
689	4770	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1080	76	25020	25010	0	3780	43.7999	85.3857	99.99142	49.19388	5.271021	77.99938	86.5	29.09626	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
706	5040	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1560	76	36300	36290	0	5970	30.00008	82.98358	100.0914	46.79176	5.511233	6.299996	23.5	29.09579	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	78	50
723	5310	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2100	76	48120	48110	0	8400	30.00008	83.58165	100.0914	47.38983	5.451426	31.50008	20.5	35.09533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
740	5452	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2520	75	57170	59940	3600	10000	43.7999	85.77921	100.0914	49.58739	5.23167	63.09961	29.5	35.09486	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
757	5719	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	75	69950	59940	16380	12310	16.30002	83.37727	100.0914	47.18546	5.471864	88.89922	26.5	21.39467	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
765	4182	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	3120	75	71870	59940	18300	12730	49.79981	77.97636	100.1914	41.78454	6.011955	2.1	86.0	29.09423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
782	4453	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3660	75	82980	59940	29410	15040	33.60006	85.77431	100.1914	49.58249	5.23216	27.40007	44.5	19.29376	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	50
799	4724	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	4200	75	93950	59940	40380	17140	0.9000001	85.76845	100.2914	49.57663	5.232746	0.0	79.0	35.09334	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	50
816	4771	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4620	75	7230	59940	52930	19660	45.59988	0.3	0.2	0.0	11.975	18.90004	29.5	16.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	79	72	0	0
833	5041	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5040	75	18910	59940	64610	22080	9.299997	59.69822	59.59822	0.0	6.035178	46.19987	67.0	33.29953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
850	5311	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5520	75	30800	59940	76500	24390	37.5	59.69614	59.59614	0.0	6.035386	75.59942	52.0	20.69905	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
867	5453	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	6060	75	42140	59940	87840	26700	32.90007	59.69389	59.59389	0.0	6.035611	0.0	32.0	29.39861	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
893	4183	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	6540	75	53420	59940	110	28870	22.30005	68.19191	68.09191	0.1	11.18081	21.10004	65.0	32.79815	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
910	4454	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	6960	75	63040	59940	9730	30810	36.00002	86.19003	99.99142	49.99821	5.190588	25.30006	86.5	27.39768	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
927	4725	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	7500	75	74180	59940	20870	33120	38.29999	78.88982	99.99142	42.698	5.920609	50.4998	86.0	34.49763	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	50
944	4772	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	7980	75	86420	59940	33110	35430	5.499995	78.98789	99.99142	42.79607	5.910802	78.09938	86.0	33.99717	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
961	5042	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8400	75	98260	59940	44950	37950	43.7999	84.98569	99.99142	48.79388	5.311021	6.299996	23.5	18.49667	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	72	0	78	0
978	5312	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	76	30	20	0	0	30.00008	82.98358	100.0914	46.79176	5.511233	31.50008	20.5	29.09626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
995	5454	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	540	76	13680	13670	0	1470	30.00008	83.58165	100.0914	47.38983	5.451426	63.09961	29.5	29.09579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1012	5720	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1080	76	25020	25010	0	3780	43.7999	85.77921	100.0914	49.58739	5.23167	88.89922	26.5	35.09533	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1020	4184	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1560	76	36300	36290	0	5970	16.40002	83.37727	100.0914	47.18546	5.471864	2.1	85.5	35.09486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1037	4455	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2100	76	48480	48470	0	8400	49.79981	78.07635	100.1914	41.88454	6.001956	27.40007	44.5	21.49467	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1054	4726	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2520	75	57530	59940	3960	10000	13.60001	85.77431	100.1914	49.58249	5.23216	54.59974	82.5	29.09423	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1071	4773	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3000	75	69950	59940	16380	12310	1.0	86.17223	100.1914	49.98041	5.192369	0.0	78.5	18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	50
1088	5043	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3120	75	71870	59940	18300	12730	43.7999	0.4	0.3	0.0	11.965	18.90004	20.5	35.09951	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	78	0
1105	5313	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3660	75	83090	59940	29520	15040	3.599997	61.49819	61.39819	0.0	5.855181	46.19987	38.5	14.99903	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
1122	5455	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4200	75	93950	59940	40380	17140	43.19991	65.39605	65.29605	0.0	5.465395	75.59942	23.5	35.09858	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100	79	72	0	0
1148	4185	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4620	75	7240	59940	52940	19660	32.70007	65.39381	65.29381	0.0	5.465619	0.0	31.0	32.99814	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	72	0	0
1165	4456	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	5040	75	19460	59940	65160	22080	24.40005	68.19191	68.29191	0.3	8.570405	23.20005	54.5	29.49769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	79	72	0	0
1182	4727	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	5520	75	31300	59940	77000	24390	36.10002	77.78999	99.99142	41.59818	6.030591	25.30006	86.0	34.59763	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	79	72	0	50
1199	4774	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	6060	75	42140	59940	87840	26700	38.19999	78.98981	99.99142	42.798	5.910609	50.4998	85.5	34.09716	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	79	72	0	0
